
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> Euro
	<Currency> Euro, 1
	<Currency> Euro5, 5
	<Currency> Euro10, 10
	<Currency> Euro20, 20
	<Currency> Euro50, 50
	<Currency> Euro100, 100

<Trader> Food & Medical Trader // ID=0
	<Category> Vegetables
		Plum,										*,			30,			A
		Kiwi,										*,			30,			A
		Apple,										*,			30,			A
		Pear,										*,			30,			A
		Orange,										*,			30,			A
		Banana,										*,			30,			A
		Tomato,										*,			30,			A
		Potato,										*,			60,			A
		GreenBellPepper,							*,			60,			A
		Zucchini,									*,			60,			A
		Pumpkin,									*,			180,		A
		AgaricusMushroom,							*,			24,			A
		AmanitaMushroom,							*,			80,			A
		LactariusMushroom,							*,			24,			A
		MacrolepiotaMushroom,						*,			24,			A
		PsilocybeMushroom,							*,			80,			A
		AuriculariaMushroom,						*,			24,			A
		BoletusMushroom,							*,			24,			A
		PleurotusMushroom,							*,			24,			A
	<Category> Packaged Food
		PowderedMilk,								*,			30,			A
		BoxCerealCrunchin,							*,			60,			A
		Rice,										*,			90,			A
		vinegar_mung,								*,			50,			A
		ketchup_mung,								*,			50,			A
		wonderbread_mung,							*,			240,		A
		Marmalade,									*,			90,			A
		pickles_closed,								*,			120,		A
		PeachesCan,									*,			120,		A
		SardinesCan,								*,			120,		A
		TunaCan,									*,			120,		A
		MSFCTushonkaCowCan,							*,			150,		A
		MSFCCornTsarReceptCan,						*,			150,		A
		MSFCCucumbersLoradoCan,						*,			150,		A
		MSFCMilkSgushenkaCan,						*,			150,		A
		MSFCPeasDyadyaVanyaCan,						*,			150,		A
		SpaghettiCan,								*,			150,		A
		BakedBeansCan,								*,			150,		A
		TacticalBaconCan,							*,			150,		A
		sandwich_mung,								*,			200,		A
		MassMRE4,									*,			500,		A
		MassMRE9,									*,			500,		A
		MassMRE10,									*,			500,		A
	<Category> Meat
		ChickenBreastMeat,							S,			-1,			A
		GoatSteakMeat,								S,			-1,			A
		SheepSteakMeat,								S,			-1,			A
		PigSteakMeat,								S,			-1,			A
		BoarSteakMeat,								S,			-1,			A
		WolfSteakMeat,								S,			-1,			A
		DeerSteakMeat,								S,			-1,			A
		CowSteakMeat,								S,			-1,			A
		Sardines,									S,			60,			A
		Carp,										S,			300,		A
		Mackerel,									S,			300,		A
		SaltStone,									*,			60,			A
		SaltPack,									*,			120,		A
	<Category> Animal Parts
		BearPelt,									S,			-1,			A
		WolfPelt,									S,			-1,			A
		DeerPelt,									S,			-1,			A
		SheepPelt,									S,			-1,			A
		WildboarPelt,								S,			-1,			A
		CowPelt,									S,			-1,			A
		GoatPelt,									S,			-1,			A
		PigPelt,									S,			-1,			A
		RabbitPelt,									S,			-1,			A
		Bone,										*,			2,			A
		Lard,										*,			50,			A
		Guts,										*,			2,			A
		SmallGuts,									*,			2,			A
	<Category> Drinks
		SodaCan_Kvass,								*,			120,		A
		MSFCBeerZhigulevskoe,						*,			120,		A
		MSFCBankaBeerAmsterdam,						*,			120,		A
		MSFCBankaBeerHeineken,						*,			120,		A
		MSFCBankaBeerFranziskanerWeissbier,			*,			120,		A
		MSFCBankaBeerPivasProvodnik,				*,			120,		A
		MSFCBeerZhigulevskoeBarnoe,					*,			120,		A
		MSFCBeerZhigulevskoeSoviet,					*,			120,		A
		MSFCBeerBaltika9,							*,			120,		A
		MSFCBankaJackSmithWhiskey,					*,			180,		A
		Vodka,										*,			160,		A
		MSFCBankaBaikal,							*,			80,			A
		SodaCan_Cola,								*,			80,			A
		SodaCan_Pipsi,								*,			80,			A
		SodaCan_Spite,								*,			80,			A
		MSFCBankaSTALKEREnergy,						*,			100,		A
		MSFCBankaCJ,								*,			80,			A
		MSFCBankaSPRUNK,							*,			80,			A
		MSFCBankaSPRUNKextreme,						*,			100,		A
		WaterBottle,								*,			80,			A
		thermos_mung,								*,			100,		A
		Canteen,									*,			100,		A
		MSFCCanteenATACSAU,							*,			100,		A
		MSFCCanteenATACSFG,							*,			100,		A
		MSFCCanteenSURPATDesert,					*,			100,		A
		MSFCCanteenSURPAT,							*,			100,		A
		MSFCCanteenMulticamSnow,					*,			100,		A
		MSFCCanteenMulticamBlack,					*,			100,		A
		MSFCCanteenMulticamTropic,					*,			100,		A
		MSFCCanteenMulticam,						*,			100,		A
		MSFCCanteenDesert,							*,			100,		A
		MSFCCanteenGreen,							*,			100,		A
		MSFCCanteenBlack,							*,			100,		A
	<Category> Medical Supplies
		BandageDressing,							4,			100,		A
		FieldBandageDressing,						*,			100,		A
		SamSplint,									*,			100,		A
		Toiletpaper,								*,			50,			A
		BloodTestKit,								*,			30,			A
		DisinfectantSpray,							*,			150,		A
		VanishSpray,								*,			150,		A
		Heatpack,									*,			60,			A
		StartKitIV,									*,			120,		A
		SalineBag,									*,			180,		A
		BloodBagEmpty,								*,			120,		A
		FirstAidKit,								*,			540,		A
		FirstAidKit_Grizzly,						*,			540,		A
		FirstAidKit_Car,							*,			540,		A
		Army_FirstAidKit,							*,			540,		A
		MedicalScrubsHat_Blue,						*,			45,			A
		MedicalScrubsHat_White,						*,			45,			A
		MedicalScrubsHat_Green,						*,			45,			A
		LabCoat,									*,			30,			A
		MedicalScrubsShirt_Blue,					*,			60,			A
		MedicalScrubsShirt_White,					*,			60,			A
		MedicalScrubsShirt_Green,					*,			60,			A
		MedicalScrubsPants_Blue,					*,			30,			A
		MedicalScrubsPants_White,					*,			30,			A
		MedicalScrubsPants_Green,					*,			30,			A
		SurgicalGloves_LightBlue,					*,			15,			A
		SurgicalGloves_Blue,						*,			15,			A
		SurgicalGloves_White,						*,			15,			A
		SurgicalGloves_Green,						*,			15,			A
		SurgicalMask,								*,			30,			A
		Massmedbag,									*,			500,		A
		Massmedbag_blue,							*,			500,		A
		Massmedbag_green,							*,			500,		A
	<Category> Medications
		CharcoalTablets,							*,			75,			A
		DisinfectantAlcohol,						*,			25,			A
		VitaminBottle,								*,			150,		A
		MSFCPohuinBottle,							*,			150,		A
		TetracyclineAntibiotics,					*,			105,		A
		PainkillerTablets,							*,			90,			A
		Epinephrine,								*,			240,		A
